岗位名称,公司名称,薪资范围,工作城市,经验要求,学历要求,公司性质,公司规模,公司行业,公司标签,职位描述
金融科技委员会-信息安全部-国际业务数据开发工程师G01380,中信期货有限公司,2-4万,深圳·福田·福田街道,3-5年,本科,国企,1000-9999人,证券/期货,,职位描述 岗位职责： 1、负责公司国际业务与大数据全生命周期相关的研发工作，包括数据治理、数据ETL、数据分析与处理、数据指标及报表开发等； 2、负责开展数据需求可行性评估、开发设计，根据开发规范与流程独立完成代码编写，编写测试文档，配合测试小组进行开展或支持测试工作； 3、负责基于公司数据资源、结合国际业务，建立、评估、持续优化数据模型； 4、负责解决涉及大数据平台、数据治理平台、数据应用、报表系统的相关技术问题，持续改进数据服务质量； 5、领导安排的其他工作。 岗位要求： 1、本科及以上学历，计算机、数据科学、统计学、金融工程等相关专业背景优先； 2、3年（含）以上具备金融业（尤其是期货、证券、基金、资管领域）、信息技术服务业数据应用开发、报表开发、大数据相关工作经验； 3、具有较强的协调、沟通和表达能力；良好的合规意识、业务学习能力；具有较强的主动性、责任心及耐心，能承受一定工作压力； 4、熟练使用SQL，熟悉MySQL、OceanBase、Oracle等常用关系型数据库； 5、熟悉大数据技术栈（如Hadoop、Spark、Flink、Kafka、Hive等），了解大数据框架的软件架构与工作原理，有星环TDH、TDS开发经验者优先； 6、熟悉Python、Java等编程语言中的一种以上，熟悉数据分析处理领域常用的Python等开发库，具备数据开发或脚本编写能力； 7、熟悉SmartBI等报表工具优先，具备一定的数据洞察分析能力; 8、熟悉GIT\SVN\VSS\CVS等至少一种配置管理工具； 9、了解金融业务数据特征（如交易、风控、资管、投研等场景）者优先； 10、熟悉数据治理框架和工具（如数据质量管控、元数据管理等）者优先; 11、具有证券期货业相关证书、数据治理类相关证书者优先； 12、具备良好的英文读写能力，能用英语即时聊天、答复邮件，能阅读英文版的专业文档。
AI Agent开发工程师,无锡新申锡国际贸易有限公司,8000-15000元,深圳·南山·南头,1-3年,本科,代表处,20-99人,综合商贸,,职位描述 岗位职责1. 参与公司 AI Agent 智能系统 的研发与迭代。2. 使用 Python 开发 AI 应用后端接口，完成数据处理和业务逻辑实现。3. 基于 大语言模型（LLM） 开发企业智能应用，例如知识问答、自动化流程、业务助手等。4. 构建和优化 RAG 知识库系统，提升 AI 对企业知识的理解和检索能力。5. 编写并优化 Prompt，提升模型输出效果。6. 参与 AI Agent workflow 设计，实现企业业务流程自动化。7. 参与 AI 系统部署与集成（如 OpenClaw 等平台）。任职要求 1. 211院校本科及以上学历，计算机、软件工程、人工智能等相关专业。 2. 2–3年软件开发经验，有 Python 后端开发经验。 3. 熟悉 Web开发框架（如 FastAPI / Flask / Django 等）。 4. 对 AI应用 / 大模型 / AI Agent / RAG 方向有兴趣或实际经验。 5. 能够调用 OpenAI / Claude / DeepSeek 等 LLM API 进行应用开发。 6. 熟悉基本数据库使用（MySQL / PostgreSQL / Redis）。 7. 具备良好的代码习惯和学习能力。 加分项（不是必须） ● 有 LangChain / LangGraph / LlamaIndex 等框架经验 ● 有 AI Agent 项目经验 ● 有 向量数据库（Milvus / FAISS / Pinecone 等）经验 ● 有 AI系统部署经验（OpenClaw / Docker / Linux）
AI Agent开发工程师（通信测试方向）,创信测试技术(深圳)有限公司,1-1.8万,深圳·宝安·石岩,3-5年,大专,民营,20-99人,通信/网络设备,,职位描述 【岗位职责】智能测试Agent开发：负责开发面向通信技术AI平台，本地大模型部署与微调：在本地服务器或嵌入式环境中完成开源大模型的私有化部署与推理加速；私有模型训练：利用公司积累的测试数据，在本地硬件（GPU服务器）上训练模型；AI能力产品化落地：将AI Agent能力封装为SDK或API接口；前沿技术探索：跟踪RAG、多模态、测试自动化与AI结合的前沿技术。【任职要求】基础能力：计算机、人工智能、通信工程、电子工程等相关专业本科及以上学历，2年以上AI应用开发或测试自动化开发经验。开发能力：熟练掌握Python，具备良好的工程化编码习惯，熟悉Linux、Docker、Git，具备API设计与服务封装能力。模型应用经验：熟悉主流开源大模型（Qwen、Llama、ChatGLM等）的本地部署、推理优化与微调（LoRA、SFT等）；熟悉至少一种深度学习框架（PyTorch/TensorFlow）；有实际微调经验，尤其是垂直领域（如技术文档问答、日志分析）者优先。硬件与部署能力：了解GPU显存优化、多卡推理、量化部署等技术；有在本地服务器或私有化环境中部署AI模型的经验，对数据安全与合规有基本认知。行业理解（加分项，非硬性）：对通信测试领域有一定了解工程化思维：不局限于模型本身，能够从产品落地角度思考AI能力的封装、性能、稳定性和用户体验。【加分项】熟悉RAG框架（LangChain、Dify等）及向量数据库（Milvus、Chroma等），有知识库构建经验；有移动通信相关知识背景；有将大模型用于日志分析、故障根因定位、自动化报告生成的实际案例；熟悉模型安全与私有化部署安全策略，有国产硬件（昇腾、天数智芯等）适配经验；有开源项目或技术博客，乐于分享。【我们提供】场景独特：将前沿AI技术与通信测试这一高门槛、高价值领域深度结合，打造真正解决行业痛点的智能产品；资源充足：公司拥有本地GPU算力集群，支持模型训练与推理实验；自主空间：从0到1参与AI产品定义与架构设计，技术决策空间大；稳定平台：深耕行业多年，客户覆盖头部运营商、芯片及设备厂商，业务基础扎实。
供应链专员,比特智算人工智能科技(深圳)有限公司,7000-9000元,深圳·龙华·大浪,经验不限,本科,股份制企业,100-299人,人工智能,,职位描述 岗位职麦：1、负责公司产品库存数据的管控2、库存系统的数据管理，保证货品数据的准确性3、收集整理月度、季度、年度库存数据，并进行多元化分析和备份，提供数据依据4、定期对公司产品存货进行监控，并提供合理性建议，保证产品正常销售和营运，并对公司产品销售的日常分析跟进，提供定期报告。5、了解市场的产品及价格动态，协助进行市场供应商洽谈，负责订单合同的订货、修改、核对，整理库存。6、关注客户群消息并回复，订单跟踪管理及异常处理并将重要信息反馈上级领导及市场部人员。7、进行供应商档案的建立及日常管理，数据报表的统计和制作，每月协助财务部与供应商对账。8、监控处理采购外协订单流程，确保供应链的稳定性和采购外协物品的及时交付。任职要求：1、熟练使用办公软件及金蝶财务软件，具备职业道德素质，责任心强。 2、熟悉业务流程，良好的沟通能力、谈判能力和成本意识。 3、口齿伶俐，语言表达能力强。熟悉购销业务流程者优先。 4、有外贸公司采购经理、报关业务、供应链公司工作经验者优先。5、有良好的沟通能力，较强的服务及团队合作精神，为人诚实可靠，工作耐心且认真负责。6、对进、销、存全流程熟悉。7、本科以上学历，电子商务、物流管理及计算机相关专业毕业。8、有3C、计算机硬件行业优先。
AI应用开发工程师,健康元药业集团股份有限公司,1.5-2.5万·13薪,深圳·盐田·海山,3-5年,本科,上市公司,10000人以上,生物/制药,已上市,"职位描述 岗位职责： 1、负责探索并实现深圳、新乡两大生产基地AI技术在研发、生产、质量及支持部门的应用场景;2、使用OpenClaw搭建AIAgent，实现业务流程自动化,提升团队工作效率3、与业务部门沟通需求，梳理流程，将AI能力落地到实际业务场景(招聘、生产、采购、数据分析等)4、持续探索AI工具新玩法，推动组织智能化升级任职要求:识别可通过AI优化或自动化的环节,设计并开发实用的解决方案;5、协助建立公司内部AI应用开发规范、数据安全与合规标准；6、持续关注AI领域的新技术和工具，结合行业特点进行创新探索；7、为业务部门提供培训和技术支持，推动AI应用落地和使用推广。 任职条件： 计算机科学、人工智能、数据科学或相关专业本科及以上学历； 熟练掌握Python、JavaScript或其他主流编程语言，有AI应用开发经验 具备数据处理与分析能力，熟悉SQL、Pandas等工具； 有企业级应用开发或系统集成经验者优先； 具备较强的逻辑思维、沟通能力和跨部门协作能力； 有医药、化工行业经验者加分。"
AI技术实习生（Agent开发方向）,深圳市禹娲传媒科技有限公司,200-300元/天,深圳·南山·南头,经验不限,本科,民营,20-99人,广播/电视/影视,,职位描述 岗位职责1. 参与公司内部AI Agent体系的搭建与迭代，负责核心功能开发、模块设计及技术方案落地，保障Agent系统的稳定性与高效性。2. 承担Agent相关代码的编写、调试、版本管理及维护工作，遵循公司代码规范，提升代码质量与可复用性。3. 深度协同漫剧内容部，挖掘业务场景需求，定制开发符合内容生产、运营等环节的各类专属Agent，优化漫剧创作全流程效率。4. 参与Agent技术调研与创新实践，探索大模型与Agent结合在漫剧行业的应用场景，输出技术可行性方案。5. 配合团队完成Agent系统的测试、问题排查及性能优化，持续提升产品体验。任职要求1. 计算机相关专业（计算机科学、软件工程、人工智能等）在校本科生或研究生，具备扎实的编程基础（Python/C++优先）。2. 拥有AI Agent相关开发经验，熟悉Agent架构设计、工具调用、任务拆解等核心环节，能独立完成简单Agent的搭建与调试。3. 掌握代码管理工具（Git等）的使用，了解常见的开发流程与版本控制规范，具备良好的代码编写习惯。4. 了解大语言模型（LLM）相关知识，熟悉至少一种主流大模型API（如GPT、文心一言等）的调用与二次开发。5. 具备较强的跨部门协作意识，能快速理解漫剧内容部业务需求，将其转化为技术实现方案。6. 学习能力强，对AI技术充满热情，具备解决复杂问题的逻辑思维与抗压能力。7. 加分项：对动漫二次元文化，和网文感兴趣，漫剧、文娱行业相关技术实践经验；熟悉LangChain、AutoGPT等Agent开发框架；具备一定的前端开发能力（Vue/React）。我们提供 1. 深度参与AI Agent核心项目的机会，接触漫剧行业前沿技术应用场景，积累高价值项目经验。 3. 灵活的工作氛围，跨部门协作资源充足，鼓励技术创新与大胆尝试。 4. 有竞争力的实习薪资、表现优秀者可获得转正机会。 5. 定期行业技术分享会、行业前沿讲座，助力个人技术视野拓展。
AI Agent应用工程师,深圳海红天远微电子有限公司,2-3万,深圳·福田·南园,3-5年,本科,民营,20-99人,半导体/芯片,,职位描述 岗位职责月均token消耗低于2000RMB者勿扰，没用过Claude Code/Codex者勿扰！1.基于大模型探索下一代LM能力边界。包括但不限于:记忆、联想、反思、环境感知、使用工具、子目标拆解、硬件控制等。2.编写业务软件（ERP、MES、OA）开发需求，输入给大模型（Claude Code/Codex）进行AI自动代码生成。3.能够深入理解公司业务，将技术实现与业务场景联系起来，快速解决业务需求问题。4.利用AI进行代码优化。5.不断探索技术新领域，探索LLM与硬件的结合方式，推动技术能力的沉淀和技术氛围的建设。岗位基本需求:1.大学本科以上学历，熟悉大模型的原理，拥有精调、预训练、数据处理等方面的经验优先;2.熟悉自然语言处理常见算法与模型，具备深度学习技术在NLP领域的应用实践;3.具备良好的代码编程能力，熟悉C#;4.具备探索精神、较强的分析问题和解决问题的能力，能够独立开展工作并落地。5.具备强烈的进取心、求知欲及团队合作精神，热衷于追求技术创新。6.拥有深度学习领域论文发表者优先。
数智化PMO(AI),大族数控,2.1-4万,深圳·宝安·福海,5-10年,本科,上市公司,1000-9999人,电气机械/电力设备,优选雇主,职位描述 岗位职责:1.协助制定公司数智化赋能的路线图与项目组合策略，建立并优化适用于数智化赋能项目（含敏捷与瀑布模式）的PMO流程、标准与治理框架。2.监督整个项目组合的进度、预算、资源、风险与质量，建立统一的数据监控仪表盘。3. 识别跨项目依赖、冲突与风险，主导协调会议，推动问题升级与解决。岗位要求：1. 本科及以上学历，8年以上在科技公司项目管理经历；2. 拥有构建或主导研发体系，供应链体系等的数智化项目，Ai项目实战经验优先；3. 具备出色的沟通协调能力、精通跨职能（业务、架构、AI/算法等）协调，拥有出色的“无权影响力”以驱动多团队达成目标。
国企-系统架构师（base香港）,智联猎头,4-6万,深圳·南山·粤海,5-10年,本科,其它,10000人以上,产业互联网平台,,职位描述 岗位职责：1. 通过Group AI平台识别并优先排序AI解决方案的业务场景2. 设计端到端人工智能架构（数据、技术、集成、指标）3. 将商业需求转化为技术型AI解决方案4. 与团队共同推进AI实施5. 应用群组AI平台功能并提供改进建议6. 研究人工智能/机器学习在金融服务领域的应用趋势任职条件：1. 本科及以上学历，计算机科学、人工智能、数据科学或相关学科专业2. 5-7年银行/金融科技领域系统设计/开发经验3. 具备系统/解决方案架构师职位任职经验至少3年，其中2年以上专注于人工智能/机器学习（AI/ML）解决方案设计与实施（涵盖生成式AI、智能体AI等领域）4. 拥有Java开发经验及框架技术知识（如Java EE、Spring、Spring Boot）5.扎实的网络开发实践经验，精通基于Web/API的开发技术（包括RESTful API、XML、 JSON 、HTML5、CSS、JavaScript、 VUE 、Bootstrap、AngularJS等）。6. 熟练掌握Oracle/MySQL数据库、Windows或Unix/Linux服务器、PL/SQL及存储过程技术7. 熟悉金融科技/人工智能趋势具有优势8.英语和中文（普通话）流利
AI应用开发工程师(LLM&Agent方向),深圳市互联兴邦科技有限公司,1.8-2.5万,深圳·南山·西丽,1-3年,本科,民营,20-99人,电力/水利/热力/燃气,,职位描述 一、岗位职责1、系统架构与研发：基于大语言模型（LLM）进行智能Agent系统的架构设计、技术选型及核心功能开发；2、RAG系统构建：设计并实现检索增强生成（RAG）管道，使模型能够访问并利用特定文档或数据库信息进行推理；3、工具与API集成：通过FunctionCalling或应用编排工具，连接模型与外部软件、数据库及业务工作流；4、性能与成本优化：通过提示词压缩、智能路由、缓存机制等策略，优化系统响应延迟并降低Token消耗成本；5、模型微调与适配：利用私有数据对开源模型进行参数高效微调（如LoRA、QLoRA），以满足特定垂直行业场景需求；6、系统迭代与维护：建立评估体系监控模型线上表现，解决“幻觉”问题，确保系统的稳定性与可靠性。二、任职要求1、计算机科学、人工智能、数据科学等相关专业本科及以上学历；2、具备2年以上相关开发经验，有实际落地的AI驱动应用程序（如聊天机器人、智能对话系统）开发经验者优先；3、精通Python，熟悉其基础语法、异步编程及数据处理库；4、熟悉常见的软件工程实践，包括Git版本控制、单元测试（Pytest）及RESTfulAPI设计；5、熟练掌握LangChain、LlamaIndex、LangGraph、CrewAI或AutoGen等主流AI编排框架；6、熟悉Milvus、Pinecone、Chroma或Weaviate等向量数据库的使用及语义搜索原理；7、精通PromptEngineering，能够设计复杂的思维链（CoT）及ReAct等Agent规划模式；8、理解Token计算、上下文窗口管理、模型采样参数（Temperature等）及各类主流模型（GPT、Claude、Qwen、Llama等）的特性；9、熟悉云原生技术及工具，如Docker、Kubernetes，具备MLOps/LLMOps意识；10、了解数据清洗与预处理（ETL）流程，能够处理非结构化数据。
Ai Agent研发工程师,深圳中迈信息技术有限公司,1.2-2.4万·14薪,深圳·龙岗·坂田,经验不限,本科,股份制企业,500-999人,软件/IT服务,,职位描述 岗位职责：1、负责AI领域的软件工程化和产品开发工作；2、负责计算机视觉、NLP、搜索推荐等AI算法在AI芯片的加速实现、部署和调优，做到性能业界领先。岗位要求：1、计算机相关专业，具备大型实际软件项目经验，独立承担过关键子模块的开发工作；2、熟练运用至少一门编程语言（C++ /C/Python等）；3、具有Tensorflow、Pytorch、Caffe、Mxnet等AI框架的使用经验；4、熟悉深度神经网络、计算机视觉、自然语言处理、搜索推荐等算法领域中的至少一种；5、有模型压缩（量化、剪枝、蒸馏）、推理加速、大模型、分布式计算等领域经验者优先考虑。任职要求：部门情况：计算算法开发部是华为公司计算产品线核心研发部门，被称为“计算特种兵”，主要职责：围绕计算产业生态和技术生态，为客户提供有竞争力的算法方案；同时关注业界前沿研究，开放合作，确保产品长久竞争力。优势：部门有很多优秀的专家、博士和硕士等算法工程师，可以和优秀的人才一起成长，构建自己的软件技术栈的同时，可以构建自己的算法能力。业务方向：鲲鹏大数据、鲲鹏HPC数学库领域、鲲鹏分布式系统领域、鲲鹏存储领域、昇腾AI领域都有涉及。部门专家、博士众多， 有业界技术大咖，天才少年，有众多机会和专家进行面对面沟通交流，有助于在软件、算法等进行技术提升。
RPA开发工程师（AI方向),深圳市联云计算机科技有限公司,6000-10000元,深圳·南山·西丽,经验不限,本科,民营,20-99人,软件/IT服务,A轮,职位描述 岗位职责RPA核心架构与开发：负责RPA（机器人流程自动化）底层技术框架的设计、开发与维护；完成PC端、手机端、网页端的自动化开发，为业务提供坚实的底层技术支撑。AI大模型落地与应用：主导大小模型在发票、财税场景中的融合应用，负责模型的部署、微调（Fine-tuning）及推理优化；建立数据闭环，制定数据标注标准与策略，持续提升模型在业务场景中的准确率与智能化水平。任职要求教育背景：统招本科及以上学历，计算机科学、通信工程、电子信息、自动化等相关专业，接受应届生，实习生暂时不招工作经验：1年及以上软件开发经验，有RPA开发、AI工程化落地开发经验者优先。编程能力：精通Python或C/C++编程，具备扎实的计算机基础；代码风格严谨，注释规范，追求高质量的代码交付；能熟练使用AI编程工具快速完成工作。桌面端与系统技能：熟练掌握至少一种GUI编程技术（MFC/QT/Duilib等）；深入理解多线程编程、进程间通信；熟悉TCP/HTTP/WebSocket等网络协议及数据库操作。自动化与AI技能：熟悉Selenium、Appium、Playwright等自动化控制框架；了解主流AI框架（PyTorch/TensorFlow），有数据标注、模型微调、部署应用全流程开发经验者优先。文档与规范：精通JSON、XML等数据格式的处理；具备优秀的文档编写能力，能清晰定义接口规范与技术方案。语言能力：英语CET-4及以上，能够流畅阅读英文技术文档、API文档及前沿论文。综合素质：热爱技术研发，具备极强的钻研精神；拥有独立分析问题和解决问题的能力；具备良好的责任感、沟通能力及团队协作精神；能接受加班加速推动项目上线。
